timestamp,encoder_left,encoder_right
1753175871.1590838,0.0,0.0
1753175871.1636121,0.0,0.0
1753175871.1812608,0.0,0.0
1753175871.2036757,0.0,0.0
1753175871.2224429,0.0,0.0
1753175871.24459,0.0,0.0
1753175871.2635927,0.0,0.0
1753175871.2844512,0.0,0.0
1753175871.303628,0.0,0.0
1753175871.3235905,0.0,0.0
1753175871.3456645,0.0,0.0
1753175871.3628001,0.0,0.0
1753175871.3823583,0.0,0.0
1753175871.404395,0.0,0.0
1753175871.4229505,0.0,0.0
1753175871.4439013,0.0,0.0
1753175871.4612901,0.0,0.0
1753175871.4839635,0.0,0.0
1753175871.5036516,0.0,0.0
1753175871.5228982,0.0,0.0
1753175871.542376,0.0,0.0
1753175871.5644598,0.0,0.0
1753175871.583602,0.0,0.0
1753175871.6044278,0.0,0.0
1753175871.6225505,0.0,0.0
1753175871.6423752,0.0,0.0
1753175871.6644616,0.0,0.0
1753175871.684443,0.0,0.0
1753175871.7037888,0.0,0.0
1753175871.7228065,0.0,0.0
1753175871.7412953,0.0,0.0
1753175871.7636175,0.0,0.0
1753175871.7836657,0.0,0.0
1753175871.8036315,0.0,0.0
1753175871.8230572,0.0,0.0
1753175871.843136,0.0,0.0
1753175871.8612897,0.0,0.0
1753175871.8836954,0.0,0.0
1753175871.9036384,0.0,0.0
1753175871.9229038,0.0,0.0
1753175871.9444153,0.0,0.0
1753175871.9641573,0.0,0.0
1753175871.9850051,0.0,0.0
1753175872.0034723,0.0,0.0
1753175872.02079,0.0,0.0
1753175872.0437572,0.0,0.0
1753175872.0624096,0.0,0.0
1753175872.0831046,0.0,0.0
1753175872.104455,0.0,0.0
1753175872.1215572,0.0,0.0
1753175872.1421003,0.0,0.0
1753175872.1619854,0.0,0.0
1753175872.180854,0.0,0.0
1753175872.201947,0.0,0.0
1753175872.2213616,0.0,0.0
1753175872.241685,0.0,0.0
1753175872.261931,0.0,0.0
1753175872.285943,0.0,0.0
1753175872.3028178,0.0,0.0
1753175872.3236954,0.0,0.0
1753175872.3412554,0.0,0.0
1753175872.363685,0.0,0.0
1753175872.3829477,0.0,0.0
1753175872.4044497,0.0,0.0
1753175872.4232063,0.0,0.0
1753175872.4438465,0.0,0.0
1753175872.4634302,0.0,0.0
1753175872.4823804,0.0,0.0
1753175872.5058024,0.0,0.0
1753175872.5222256,0.0,0.0
1753175872.543666,0.0,0.0
1753175872.5610173,0.0,0.0
1753175872.5837557,0.0,0.0
1753175872.602394,0.0,0.0
1753175872.6228786,0.0,0.0
1753175872.6435487,0.0,0.0
1753175872.663496,0.0,0.0
1753175872.6844206,0.0,0.0
1753175872.7037103,0.0,0.0
1753175872.7207403,0.0,0.0
1753175872.743712,0.0,0.0
1753175872.7623372,0.0,0.0
1753175872.7835379,0.0,0.0
1753175872.8035746,0.0,0.0
1753175872.8228931,0.0,0.0
1753175872.8420691,0.0,0.0
1753175872.8635569,0.0,0.0
1753175872.8835485,0.0,0.0
1753175872.903602,0.0,0.0
1753175872.9216855,0.0,0.0
1753175872.9411523,0.0,0.0
1753175872.9611511,0.0,0.0
1753175872.9811544,0.0,0.0
1753175873.001269,0.0,0.0
1753175873.0210035,0.0,0.0
1753175873.0411785,0.0,0.0
1753175873.0612068,0.0,0.0
1753175873.081978,0.0,0.0
1753175873.1013134,0.0,0.0
1753175873.1225834,0.0,0.0
1753175873.1428764,0.0,0.0
1753175873.1621912,0.0,0.0
1753175873.1816254,0.0,0.0
1753175873.2021332,0.0,0.0
1753175873.2215614,0.0,0.0
1753175873.2412593,0.0,0.0
1753175873.2612507,0.0,0.0
1753175873.2812536,0.0,0.0
1753175873.3011649,0.0,0.0
1753175873.3210533,0.0,0.0
1753175873.341217,0.0,0.0
1753175873.3610387,0.0,0.0
1753175873.3811593,0.0,0.0
1753175873.400986,0.0,0.0
1753175873.420999,0.0,0.0
1753175873.4410563,0.0,0.0
1753175873.4609776,0.0,0.0
1753175873.4811516,0.0,0.0
1753175873.5010924,0.0,0.0
1753175873.5210888,0.0,0.0
1753175873.5411136,0.0,0.0
1753175873.5618806,0.0,0.0
1753175873.581102,0.0,0.0
1753175873.6011875,0.0,0.0
1753175873.621094,0.0,0.0
1753175873.641706,0.0,0.0
1753175873.661188,0.0,0.0
1753175873.6812851,0.0,0.0
1753175873.7012327,0.0,0.0
1753175873.722052,0.0,0.0
1753175873.7412474,0.0,0.0
1753175873.761027,0.0,0.0
1753175873.7811975,0.0,0.0
1753175873.801099,0.0,0.0
1753175873.8211434,0.0,0.0
1753175873.8423486,0.0,0.0
1753175873.861114,0.0,0.0
1753175873.8811772,0.0,0.0
1753175873.9011247,0.0,0.0
1753175873.9211025,0.0,0.0
1753175873.9413438,0.0,0.0
1753175873.9612026,0.0,0.0
1753175873.981097,0.0,0.0
1753175874.0010808,0.0,0.0
1753175874.0213933,0.0,0.0
1753175874.0413005,0.0,0.0
1753175874.0611408,0.0,0.0
1753175874.0810678,0.0,0.0
1753175874.1027074,0.0,0.0
1753175874.1228359,0.0,0.0
1753175874.1418436,0.0,0.0
1753175874.161945,0.0,0.0
1753175874.1813385,0.0,0.0
1753175874.2017632,0.0,0.0
1753175874.221609,0.0,0.0
1753175874.242695,0.0,0.0
1753175874.2616682,0.0,0.0
1753175874.281469,0.0,0.0
1753175874.3019454,0.0,0.0
1753175874.3210442,0.0,0.0
1753175874.3414297,0.0,0.0
1753175874.3613162,0.0,0.0
1753175874.3814418,0.0,0.0
1753175874.4015737,0.0,0.0
1753175874.421365,0.0,0.0
1753175874.4436886,0.0,0.0
1753175874.464393,0.0,0.0
1753175874.485277,0.0,0.0
1753175874.5032246,0.0,0.0
1753175874.5207598,0.0,0.0
1753175874.5425704,0.0,0.0
1753175874.563607,0.0,0.0
1753175874.5829608,0.0,0.0
1753175874.604476,0.0,0.0
1753175874.6227517,0.0,0.0
1753175874.6428313,0.0,0.0
1753175874.662448,0.0,0.0
1753175874.6835508,0.0,0.0
1753175874.7036357,0.0,0.0
1753175874.7228923,0.0,0.0
1753175874.7437217,0.0,0.0
1753175874.7634118,0.0,0.0
1753175874.782062,1.0,0.0
1753175874.8021328,1.0,1.0
1753175874.8223586,1.0,1.0
1753175874.8423154,1.0,1.0
1753175874.8637602,2.0,1.0
1753175874.8812718,2.0,2.0
1753175874.9025264,2.0,2.0
1753175874.9219568,3.0,3.0
1753175874.9434986,3.0,3.0
1753175874.9635496,4.0,3.0
1753175874.9810495,4.0,4.0
1753175875.0037677,5.0,4.0
1753175875.0219893,5.0,5.0
1753175875.0423307,6.0,5.0
1753175875.0636642,6.0,6.0
1753175875.0835965,7.0,7.0
1753175875.1036422,7.0,7.0
1753175875.1238873,8.0,8.0
1753175875.1412923,9.0,8.0
1753175875.1624165,9.0,9.0
1753175875.1812205,10.0,9.0
1753175875.2011747,11.0,10.0
1753175875.2222743,11.0,11.0
1753175875.2415292,12.0,11.0
1753175875.2627354,13.0,12.0
1753175875.2817998,13.0,13.0
1753175875.303776,14.0,13.0
1753175875.3226728,15.0,14.0
1753175875.3411593,15.0,15.0
1753175875.3639214,16.0,15.0
1753175875.3831756,17.0,16.0
1753175875.4038723,17.0,17.0
1753175875.4225209,18.0,17.0
1753175875.443373,19.0,18.0
1753175875.4633534,19.0,19.0
1753175875.482494,20.0,19.0
1753175875.5048056,21.0,20.0
1753175875.522543,22.0,21.0
1753175875.5432737,22.0,22.0
1753175875.5614874,23.0,22.0
1753175875.5840626,24.0,23.0
1753175875.6039944,25.0,24.0
1753175875.623116,25.0,24.0
1753175875.642713,26.0,25.0
1753175875.6636457,27.0,26.0
1753175875.6813364,27.0,26.0
1753175875.703301,28.0,27.0
1753175875.722545,29.0,28.0
1753175875.7431896,30.0,29.0
1753175875.7637246,30.0,29.0
1753175875.781387,31.0,30.0
1753175875.8038805,32.0,31.0
1753175875.8225493,32.0,31.0
1753175875.8437304,33.0,32.0
1753175875.863734,34.0,33.0
1753175875.881455,34.0,33.0
1753175875.9042227,35.0,34.0
1753175875.9225402,36.0,35.0
1753175875.9432404,36.0,35.0
1753175875.9616666,37.0,36.0
1753175875.9840276,38.0,37.0
1753175876.0039835,38.0,37.0
1753175876.0232277,39.0,38.0
1753175876.0421314,40.0,39.0
1753175876.0623803,40.0,39.0
1753175876.0831127,41.0,40.0
1753175876.1039112,42.0,41.0
1753175876.1226435,43.0,41.0
1753175876.1416242,43.0,42.0
1753175876.162546,44.0,43.0
1753175876.181584,45.0,44.0
1753175876.2011995,45.0,44.0
1753175876.2214756,46.0,45.0
1753175876.2421074,47.0,46.0
1753175876.2622602,48.0,47.0
1753175876.2817905,48.0,47.0
1753175876.3048348,49.0,48.0
1753175876.3225915,50.0,49.0
1753175876.3433192,51.0,50.0
1753175876.3616686,52.0,51.0
1753175876.3838656,52.0,51.0
1753175876.4038372,53.0,52.0
1753175876.4229422,54.0,53.0
1753175876.4431484,55.0,54.0
1753175876.4637787,56.0,54.0
1753175876.4821832,56.0,55.0
1753175876.502327,57.0,56.0
1753175876.523163,58.0,57.0
1753175876.5425308,59.0,57.0
1753175876.5652027,59.0,58.0
1753175876.5834684,60.0,59.0
1753175876.6014323,61.0,60.0
1753175876.6231353,62.0,61.0
1753175876.643111,63.0,61.0
1753175876.6647546,63.0,62.0
1753175876.6838417,64.0,63.0
1753175876.7038522,65.0,64.0
1753175876.7214692,66.0,64.0
1753175876.7418911,67.0,65.0
1753175876.7613733,68.0,66.0
1753175876.7814503,68.0,67.0
1753175876.8013568,69.0,68.0
1753175876.8214383,70.0,68.0
1753175876.8415458,71.0,69.0
1753175876.8614743,71.0,70.0
1753175876.8818927,72.0,71.0
1753175876.901234,73.0,71.0
1753175876.9243157,74.0,72.0
1753175876.942848,75.0,73.0
1753175876.9653769,75.0,74.0
1753175876.9842613,76.0,75.0
1753175877.0033455,77.0,76.0
1753175877.0226252,78.0,77.0
1753175877.0435226,79.0,78.0
1753175877.0641303,80.0,79.0
1753175877.0830235,81.0,80.0
1753175877.1044173,82.0,80.0
1753175877.1230648,83.0,81.0
1753175877.142038,84.0,82.0
1753175877.1617634,84.0,83.0
1753175877.1812077,85.0,83.0
1753175877.2011344,86.0,84.0
1753175877.222293,86.0,85.0
1753175877.241733,87.0,85.0
1753175877.262131,88.0,86.0
1753175877.2835755,89.0,87.0
1753175877.3018916,90.0,88.0
1753175877.3210936,90.0,88.0
1753175877.3427904,91.0,89.0
1753175877.3633657,92.0,90.0
1753175877.383262,93.0,91.0
1753175877.404008,93.0,91.0
1753175877.4230738,94.0,92.0
1753175877.4433227,95.0,93.0
1753175877.4638717,96.0,94.0
1753175877.4838102,96.0,94.0
1753175877.502293,97.0,95.0
1753175877.5215282,98.0,96.0
1753175877.5426824,99.0,97.0
1753175877.5623767,100.0,97.0
1753175877.5840003,100.0,98.0
1753175877.6033542,101.0,99.0
1753175877.6241014,102.0,100.0
1753175877.6433876,103.0,100.0
1753175877.6635778,104.0,101.0
1753175877.6817756,104.0,102.0
1753175877.7033548,105.0,103.0
1753175877.723417,106.0,103.0
1753175877.7429135,107.0,104.0
1753175877.7651715,108.0,105.0
1753175877.7839894,108.0,106.0
1753175877.804376,109.0,107.0
1753175877.8225882,110.0,107.0
1753175877.8413742,111.0,108.0
1753175877.8637042,112.0,109.0
1753175877.882932,112.0,110.0
1753175877.9042752,113.0,111.0
1753175877.9229226,114.0,111.0
1753175877.944174,115.0,112.0
1753175877.9643831,116.0,113.0
1753175877.9844885,116.0,113.0
1753175878.0040731,117.0,114.0
1753175878.0234437,118.0,115.0
1753175878.0414808,118.0,115.0
1753175878.063636,119.0,116.0
1753175878.082922,120.0,117.0
1753175878.1043296,120.0,118.0
1753175878.122947,121.0,118.0
1753175878.1441813,122.0,119.0
1753175878.162503,122.0,120.0
1753175878.1825645,123.0,120.0
1753175878.2012763,124.0,121.0
1753175878.2224517,125.0,122.0
1753175878.24216,125.0,122.0
1753175878.2619267,126.0,123.0
1753175878.2828338,127.0,124.0
1753175878.3050957,127.0,124.0
1753175878.3228288,128.0,125.0
1753175878.343024,129.0,126.0
1753175878.362625,130.0,127.0
1753175878.3822558,130.0,127.0
1753175878.403005,131.0,128.0
1753175878.4224644,132.0,129.0
1753175878.4425278,133.0,130.0
1753175878.464419,133.0,130.0
1753175878.4850998,134.0,131.0
1753175878.5043008,135.0,132.0
1753175878.5247269,135.0,133.0
1753175878.5413206,136.0,133.0
1753175878.5653136,137.0,134.0
1753175878.5810924,138.0,135.0
1753175878.6041188,139.0,136.0
1753175878.621721,139.0,136.0
1753175878.6436915,0.0,0.0
1753175878.663835,0.0,0.0
1753175878.683792,1.0,1.0
1753175878.7034938,1.0,1.0
1753175878.7220562,1.0,1.0
1753175878.7416472,0.0,0.0
1753175878.7636352,0.0,0.0
1753175878.7835777,0.0,0.0
1753175878.8035715,0.0,0.0
1753175878.8207803,0.0,0.0
1753175878.8425467,0.0,0.0
1753175878.863243,0.0,0.0
1753175878.883823,0.0,0.0
1753175878.9037597,0.0,0.0
1753175878.9228268,0.0,0.0
1753175878.9416523,0.0,0.0
1753175878.962486,0.0,0.0
1753175878.9836404,0.0,0.0
1753175879.0036519,0.0,0.0
1753175879.0230339,0.0,0.0
1753175879.0410416,0.0,0.0
1753175879.0637019,0.0,0.0
1753175879.0823922,0.0,0.0
1753175879.103576,0.0,0.0
1753175879.1229033,0.0,0.0
1753175879.1443067,0.0,0.0
1753175879.1622362,0.0,0.0
1753175879.1822727,0.0,0.0
1753175879.2009969,0.0,0.0
1753175879.2211149,0.0,0.0
1753175879.241899,0.0,0.0
1753175879.2618399,0.0,0.0
1753175879.2836459,0.0,0.0
1753175879.3029125,0.0,0.0
1753175879.3230143,0.0,0.0
1753175879.3409467,0.0,0.0
1753175879.3637066,0.0,0.0
1753175879.382467,0.0,0.0
1753175879.4036415,0.0,0.0
1753175879.4228435,0.0,0.0
1753175879.4429004,0.0,0.0
1753175879.4643831,0.0,0.0
1753175879.4827702,0.0,0.0
1753175879.5046413,0.0,0.0
1753175879.5221763,0.0,0.0
1753175879.5430105,0.0,0.0
1753175879.5623739,0.0,0.0
1753175879.5836098,0.0,0.0
1753175879.603572,0.0,0.0
1753175879.622644,0.0,0.0
1753175879.641289,0.0,0.0
1753175879.6636791,0.0,0.0
1753175879.6836057,0.0,0.0
1753175879.7045484,0.0,0.0
1753175879.7225108,0.0,0.0
1753175879.742038,0.0,0.0
1753175879.7618518,0.0,0.0
1753175879.7835808,0.0,0.0
1753175879.8035626,0.0,0.0
1753175879.8230653,0.0,0.0
1753175879.842497,0.0,0.0
1753175879.861734,0.0,0.0
1753175879.883601,0.0,0.0
1753175879.9035227,0.0,0.0
1753175879.9228952,0.0,0.0
1753175879.9428976,0.0,0.0
1753175879.9644728,0.0,0.0
1753175879.9841175,0.0,0.0
1753175880.0035985,0.0,0.0
1753175880.0207894,0.0,0.0
1753175880.042425,0.0,0.0
1753175880.0637846,0.0,0.0
1753175880.0836694,0.0,0.0
1753175880.1037188,0.0,0.0
1753175880.120733,0.0,0.0
1753175880.1433334,0.0,0.0
1753175880.161476,0.0,0.0
1753175880.1822393,0.0,0.0
1753175880.2013245,0.0,0.0
1753175880.2211168,0.0,0.0
1753175880.2421782,0.0,0.0
1753175880.2618566,0.0,0.0
1753175880.2816007,0.0,0.0
1753175880.301729,0.0,0.0
1753175880.322975,0.0,0.0
1753175880.3424284,0.0,0.0
1753175880.3644571,0.0,0.0
1753175880.3836255,0.0,0.0
1753175880.4033918,0.0,0.0
1753175880.4225745,0.0,0.0
1753175880.4409902,0.0,0.0
1753175880.4637773,0.0,0.0
1753175880.4831443,0.0,0.0
1753175880.5045593,0.0,0.0
1753175880.5223835,0.0,0.0
1753175880.543238,0.0,0.0
1753175880.5630493,0.0,0.0
1753175880.5814831,0.0,0.0
1753175880.6036317,0.0,0.0
1753175880.6229877,0.0,0.0
1753175880.6431892,0.0,0.0
1753175880.6635823,0.0,0.0
1753175880.682782,0.0,0.0
1753175880.7024086,0.0,0.0
1753175880.721895,0.0,0.0
1753175880.742522,0.0,0.0
1753175880.7639081,0.0,0.0
1753175880.7837925,0.0,0.0
1753175880.8039122,0.0,0.0
1753175880.8230903,0.0,0.0
1753175880.8431969,0.0,0.0
1753175880.8617575,0.0,0.0
1753175880.8825483,0.0,0.0
1753175880.9026291,0.0,0.0
1753175880.9225156,0.0,0.0
1753175880.9430113,0.0,0.0
1753175880.963809,0.0,0.0
1753175880.9821177,0.0,0.0
1753175881.0048392,0.0,0.0
1753175881.0224462,0.0,0.0
1753175881.041346,0.0,0.0
1753175881.063805,0.0,0.0
1753175881.0831618,0.0,0.0
1753175881.104813,0.0,0.0
1753175881.1224835,0.0,0.0
1753175881.1435046,0.0,0.0
1753175881.1617472,0.0,0.0
1753175881.1821601,0.0,0.0
1753175881.2012162,0.0,0.0
1753175881.2212417,0.0,0.0
1753175881.2414415,0.0,0.0
1753175881.2620401,0.0,0.0
1753175881.2823093,0.0,0.0
1753175881.3034132,0.0,0.0
1753175881.3207467,0.0,0.0
1753175881.342433,0.0,0.0
1753175881.363546,0.0,0.0
1753175881.3832037,0.0,0.0
1753175881.4045775,0.0,0.0
1753175881.4223702,0.0,0.0
1753175881.4430008,0.0,0.0
1753175881.4620442,0.0,0.0
1753175881.4825263,0.0,0.0
1753175881.5037453,0.0,0.0
1753175881.5224302,0.0,0.0
1753175881.5410223,0.0,0.0
1753175881.563712,0.0,0.0
1753175881.5823848,0.0,0.0
1753175881.603544,0.0,0.0
1753175881.6223478,0.0,0.0
1753175881.6429954,0.0,0.0
1753175881.6612272,0.0,0.0
1753175881.683606,0.0,0.0
1753175881.7035606,0.0,0.0
1753175881.7225654,0.0,0.0
1753175881.7420204,0.0,0.0
1753175881.7617424,0.0,0.0
1753175881.7835712,0.0,0.0
1753175881.803572,0.0,0.0
1753175881.822887,0.0,0.0
1753175881.8429205,0.0,0.0
1753175881.861222,0.0,0.0
1753175881.8836272,0.0,0.0
1753175881.9036021,0.0,0.0
1753175881.922957,0.0,0.0
1753175881.9435427,0.0,0.0
1753175881.964489,0.0,0.0
1753175881.9842238,0.0,0.0
1753175882.004646,0.0,0.0
1753175882.0224016,0.0,0.0
1753175882.0409162,0.0,0.0
1753175882.0646224,0.0,0.0
1753175882.0823262,0.0,0.0
1753175882.103769,0.0,0.0
1753175882.1207385,0.0,0.0
1753175882.1424193,0.0,0.0
1753175882.1635978,0.0,0.0
1753175882.1819685,0.0,0.0
1753175882.2018483,0.0,0.0
1753175882.2213569,0.0,0.0
1753175882.2421248,0.0,0.0
1753175882.2616944,0.0,0.0
1753175882.2816215,0.0,0.0
1753175882.3013406,0.0,0.0
1753175882.3245726,0.0,0.0
1753175882.3417132,0.0,0.0
1753175882.3644068,0.0,0.0
1753175882.3834121,0.0,0.0
1753175882.4013095,0.0,0.0
1753175882.4232838,0.0,0.0
1753175882.4423454,0.0,0.0
1753175882.4658132,0.0,0.0
1753175882.4829443,0.0,0.0
1753175882.5036497,0.0,0.0
1753175882.522777,0.0,0.0
1753175882.5417218,0.0,0.0
1753175882.5608284,0.0,0.0
1753175882.5808613,0.0,0.0
1753175882.6009014,0.0,0.0
1753175882.6208634,0.0,0.0
1753175882.64196,0.0,0.0
1753175882.661876,0.0,0.0
1753175882.6836224,0.0,0.0
1753175882.703584,0.0,0.0
1753175882.7229924,0.0,0.0
1753175882.741956,0.0,0.0
1753175882.7620192,0.0,0.0
1753175882.7829182,0.0,0.0
1753175882.8036008,0.0,0.0
1753175882.8229358,0.0,0.0
1753175882.8419673,0.0,0.0
1753175882.8638551,0.0,0.0
1753175882.8817008,0.0,0.0
1753175882.9026287,0.0,0.0
1753175882.9216397,0.0,0.0
1753175882.9415932,0.0,0.0
1753175882.9635842,0.0,0.0
1753175882.9830632,0.0,0.0
1753175883.0029676,0.0,0.0
1753175883.0228877,0.0,0.0
1753175883.0418963,0.0,0.0
1753175883.0644088,0.0,0.0
1753175883.0835845,0.0,0.0
1753175883.1035237,0.0,0.0
1753175883.1207597,0.0,0.0
1753175883.1419287,0.0,0.0
1753175883.1649735,0.0,0.0
1753175883.181873,0.0,0.0
1753175883.2016637,0.0,0.0
1753175883.2209744,0.0,0.0
1753175883.2424934,0.0,0.0
1753175883.2623582,0.0,0.0
1753175883.2819536,0.0,0.0
1753175883.3036318,0.0,0.0
1753175883.3223784,0.0,0.0
1753175883.3424356,0.0,0.0
1753175883.3646872,0.0,0.0
1753175883.3808098,0.0,0.0
1753175883.4030569,0.0,0.0
1753175883.4219844,0.0,0.0
1753175883.4412763,0.0,0.0
1753175883.4649262,0.0,0.0
1753175883.4807992,0.0,0.0
1753175883.5038803,0.0,0.0
1753175883.5219562,0.0,0.0
1753175883.5416563,0.0,0.0
1753175883.5636163,0.0,0.0
1753175883.581062,0.0,0.0
1753175883.6031704,0.0,0.0
1753175883.6219738,0.0,0.0
1753175883.6415832,0.0,0.0
1753175883.6645594,0.0,0.0
1753175883.6838439,0.0,0.0
1753175883.7010176,0.0,0.0
1753175883.7224004,0.0,0.0
1753175883.7409532,0.0,0.0
1753175883.763854,0.0,0.0
1753175883.7811165,0.0,0.0
1753175883.8037004,0.0,0.0
1753175883.8219497,0.0,0.0
1753175883.8416493,0.0,0.0
1753175883.8657866,0.0,0.0
1753175883.8827102,0.0,0.0
1753175883.90358,0.0,0.0
1753175883.920787,0.0,0.0
1753175883.9415352,0.0,0.0
1753175883.963145,0.0,0.0
1753175883.9830065,0.0,0.0
1753175884.0036476,0.0,0.0
1753175884.0228817,0.0,0.0
1753175884.0418928,0.0,0.0
1753175884.0624769,0.0,0.0
1753175884.0849986,0.0,0.0
1753175884.102902,0.0,0.0
1753175884.1237762,0.0,0.0
1753175884.1424303,0.0,0.0
1753175884.1625175,0.0,0.0
1753175884.1847925,0.0,0.0
1753175884.2031252,0.0,0.0
1753175884.2237077,0.0,0.0
1753175884.2412598,0.0,0.0
1753175884.2609735,0.0,0.0
1753175884.2825332,0.0,0.0
1753175884.303898,0.0,0.0
1753175884.3237045,0.0,0.0
1753175884.3426385,0.0,0.0
1753175884.3632057,0.0,0.0
1753175884.3825798,0.0,0.0
1753175884.4017072,0.0,0.0
1753175884.4223883,0.0,0.0
1753175884.4435692,0.0,0.0
1753175884.4628873,0.0,0.0
1753175884.483797,0.0,0.0
1753175884.5032742,0.0,0.0
1753175884.5207753,0.0,0.0
1753175884.5437293,0.0,0.0
1753175884.5623622,0.0,0.0
1753175884.5835984,0.0,0.0
1753175884.602896,0.0,0.0
1753175884.6228867,0.0,0.0
1753175884.6438553,0.0,0.0
1753175884.6617138,0.0,0.0
1753175884.684701,0.0,0.0
1753175884.7022812,0.0,0.0
1753175884.7232358,0.0,0.0
1753175884.7436368,0.0,0.0
1753175884.7635326,0.0,0.0
1753175884.784387,0.0,0.0
1753175884.8014567,0.0,0.0
1753175884.8228605,0.0,0.0
1753175884.8431058,0.0,0.0
1753175884.8636818,0.0,0.0
1753175884.8829794,0.0,0.0
1753175884.903568,0.0,0.0
1753175884.923041,0.0,0.0
1753175884.9412386,0.0,0.0
1753175884.963649,0.0,0.0
1753175884.9837434,0.0,0.0
1753175885.003673,0.0,0.0
1753175885.0207481,0.0,0.0
1753175885.0437148,0.0,0.0
1753175885.0623643,0.0,0.0
1753175885.083054,0.0,0.0
1753175885.1036394,0.0,0.0
1753175885.1229415,0.0,0.0
1753175885.1435683,0.0,0.0
1753175885.1657364,0.0,0.0
1753175885.181494,0.0,0.0
1753175885.2018678,0.0,0.0
1753175885.2211537,0.0,0.0
1753175885.2411165,0.0,0.0
1753175885.2612321,0.0,0.0
1753175885.2823408,0.0,0.0
1753175885.301246,0.0,0.0
1753175885.323697,0.0,0.0
1753175885.341055,0.0,0.0
1753175885.3630674,0.0,0.0
1753175885.382936,0.0,0.0
1753175885.4036148,0.0,0.0
1753175885.4229527,0.0,0.0
1753175885.444469,0.0,0.0
1753175885.4636269,0.0,0.0
1753175885.4842937,0.0,0.0
1753175885.5030198,0.0,0.0
1753175885.5228846,0.0,0.0
1753175885.541384,0.0,0.0
1753175885.5636246,0.0,0.0
1753175885.5837486,0.0,0.0
1753175885.60378,0.0,0.0
1753175885.6229866,0.0,0.0
1753175885.6424456,0.0,0.0
1753175885.6636672,0.0,0.0
1753175885.6835828,0.0,0.0
1753175885.703583,0.0,0.0
1753175885.7229168,0.0,0.0
1753175885.743592,0.0,0.0
1753175885.7633312,0.0,0.0
1753175885.7812986,0.0,0.0
1753175885.8037531,0.0,0.0
1753175885.8219721,0.0,0.0
1753175885.8436408,0.0,0.0
1753175885.86358,0.0,0.0
1753175885.8837154,0.0,0.0
